// For documentation see - Map_Content_Documentation.txt
//=====================================================================================



1 0	mcl_core:stone
971 7	mcl_doors:birch_door_t_2 1
971 8	mcl_doors:birch_door_t_2 1
971 9	mcl_doors:birch_door_t_2 2
971 10	mcl_doors:birch_door_t_2 3
971 11	mcl_doors:birch_door_t_2 0
971 12	mcl_doors:birch_door_t_1 0
971 13	mcl_doors:birch_door_t_1 1
971 14	mcl_doors:birch_door_t_1 2
971 15	mcl_doors:birch_door_t_1 3



972 0	mcl_doors:jungle_door_b_1 1
972 1	mcl_doors:jungle_door_b_1 2
972 2	mcl_doors:jungle_door_b_1 3
972 3	mcl_doors:jungle_door_b_1 0
972 4	mcl_doors:jungle_door_b_2 2
972 5	mcl_doors:jungle_door_b_2 3
972 6	mcl_doors:jungle_door_b_2 0
972 7	mcl_doors:jungle_door_b_2 1
972 8	mcl_doors:jungle_door_b_2 1
972 9	mcl_doors:jungle_door_b_2 2
972 10	mcl_doors:jungle_door_b_2 3
972 11	mcl_doors:jungle_door_b_2 0
972 12	mcl_doors:jungle_door_b_1 0
972 13	mcl_doors:jungle_door_b_1 1
972 14	mcl_doors:jungle_door_b_1 2
972 15	mcl_doors:jungle_door_b_1 3

973 0	mcl_doors:jungle_door_t_1 1
973 1	mcl_doors:jungle_door_t_1 2
973 2	mcl_doors:jungle_door_t_1 3
973 3	mcl_doors:jungle_door_t_1 0
973 4	mcl_doors:jungle_door_t_2 2
973 5	mcl_doors:jungle_door_t_2 3
973 6	mcl_doors:jungle_door_t_2 0
973 7	mcl_doors:jungle_door_t_2 1
973 8	mcl_doors:jungle_door_t_2 1
973 9	mcl_doors:jungle_door_t_2 2
973 10	mcl_doors:jungle_door_t_2 3
973 11	mcl_doors:jungle_door_t_2 0
973 12	mcl_doors:jungle_door_t_1 0
973 13	mcl_doors:jungle_door_t_1 1
973 14	mcl_doors:jungle_door_t_1 2
973 15	mcl_doors:jungle_door_t_1 3



974 0	mcl_doors:acacia_door_b_1 1
974 1	mcl_doors:acacia_door_b_1 2
974 2	mcl_doors:acacia_door_b_1 3
974 3	mcl_doors:acacia_door_b_1 0
974 4	mcl_doors:acacia_door_b_2 2
974 5	mcl_doors:acacia_door_b_2 3
974 6	mcl_doors:acacia_door_b_2 0
974 7	mcl_doors:acacia_door_b_2 1
974 8	mcl_doors:acacia_door_b_2 1
974 9	mcl_doors:acacia_door_b_2 2
974 10	mcl_doors:acacia_door_b_2 3
974 11	mcl_doors:acacia_door_b_2 0
974 12	mcl_doors:acacia_door_b_1 0
974 13	mcl_doors:acacia_door_b_1 1
974 14	mcl_doors:acacia_door_b_1 2
974 15	mcl_doors:acacia_door_b_1 3

975 0	mcl_doors:acacia_door_t_1 1
975 1	mcl_doors:acacia_door_t_1 2
975 2	mcl_doors:acacia_door_t_1 3
975 3	mcl_doors:acacia_door_t_1 0
975 4	mcl_doors:acacia_door_t_2 2
975 5	mcl_doors:acacia_door_t_2 3
975 6	mcl_doors:acacia_door_t_2 0
975 7	mcl_doors:acacia_door_t_2 1
975 8	mcl_doors:acacia_door_t_2 1
975 9	mcl_doors:acacia_door_t_2 2
975 10	mcl_doors:acacia_door_t_2 3
975 11	mcl_doors:acacia_door_t_2 0
975 12	mcl_doors:acacia_door_t_1 0
975 13	mcl_doors:acacia_door_t_1 1
975 14	mcl_doors:acacia_door_t_1 2
975 15	mcl_doors:acacia_door_t_1 3



976 0	mcl_doors:dark_oak_door_b_1 1
976 1	mcl_doors:dark_oak_door_b_1 2
976 2	mcl_doors:dark_oak_door_b_1 3
976 3	mcl_doors:dark_oak_door_b_1 0
976 4	mcl_doors:dark_oak_door_b_2 2
976 5	mcl_doors:dark_oak_door_b_2 3
976 6	mcl_doors:dark_oak_door_b_2 0
976 7	mcl_doors:dark_oak_door_b_2 1
976 8	mcl_doors:dark_oak_door_b_2 1
976 9	mcl_doors:dark_oak_door_b_2 2
976 10	mcl_doors:dark_oak_door_b_2 3
976 11	mcl_doors:dark_oak_door_b_2 0
976 12	mcl_doors:dark_oak_door_b_1 0
976 13	mcl_doors:dark_oak_door_b_1 1
976 14	mcl_doors:dark_oak_door_b_1 2
976 15	mcl_doors:dark_oak_door_b_1 3

977 0	mcl_doors:dark_oak_door_t_1 1
977 1	mcl_doors:dark_oak_door_t_1 2
977 2	mcl_doors:dark_oak_door_t_1 3
977 3	mcl_doors:dark_oak_door_t_1 0
977 4	mcl_doors:dark_oak_door_t_2 2
977 5	mcl_doors:dark_oak_door_t_2 3
977 6	mcl_doors:dark_oak_door_t_2 0
977 7	mcl_doors:dark_oak_door_t_2 1
977 8	mcl_doors:dark_oak_door_t_2 1
977 9	mcl_doors:dark_oak_door_t_2 2
977 10	mcl_doors:dark_oak_door_t_2 3
977 11	mcl_doors:dark_oak_door_t_2 0
977 12	mcl_doors:dark_oak_door_t_1 0
977 13	mcl_doors:dark_oak_door_t_1 1
977 14	mcl_doors:dark_oak_door_t_1 2
977 15	mcl_doors:dark_oak_door_t_1 3

